timestamp,open,high,low,close,volume
2021-03-29 04:00:00+00:00,121.67,122.58,120.7299,121.39,80820405
2021-03-30 04:00:00+00:00,120.01,120.4031,118.86,119.9,85737624
2021-03-31 04:00:00+00:00,121.65,123.52,121.15,122.15,118343313
2021-04-01 04:00:00+00:00,123.65,124.18,122.49,123.0,75006401
2021-04-05 04:00:00+00:00,123.68,126.1601,123.07,125.9,88536780
2021-04-06 04:00:00+00:00,126.5,127.13,125.65,126.21,80261173
2021-04-07 04:00:00+00:00,125.88,127.92,125.14,127.9,83270683
2021-04-08 04:00:00+00:00,129.0,130.39,128.52,130.36,88643378
2021-04-09 04:00:00+00:00,129.93,133.04,129.47,132.995,106389879
2021-04-12 04:00:00+00:00,132.39,132.85,130.63,131.37,83139747
2021-04-13 04:00:00+00:00,132.4,134.66,131.95,134.4026,84667034
2021-04-14 04:00:00+00:00,135.0,135.0,131.655,132.03,86594757
2021-04-15 04:00:00+00:00,133.86,134.99,133.64,134.5,79718949
2021-04-16 04:00:00+00:00,134.51,134.67,133.28,134.065,69796885
2021-04-19 04:00:00+00:00,133.53,135.47,133.34,134.88,89012155
2021-04-20 04:00:00+00:00,135.0,135.53,131.81,133.12,89820307
2021-04-21 04:00:00+00:00,132.35,133.75,131.3001,133.49,63562891
2021-04-22 04:00:00+00:00,132.85,134.15,131.41,131.94,84415996
2021-04-23 04:00:00+00:00,132.25,135.12,132.16,134.32,79264108
2021-04-26 04:00:00+00:00,134.78,135.06,133.56,134.72,66771774
2021-04-27 04:00:00+00:00,135.1,135.41,134.11,134.39,65723639
2021-04-28 04:00:00+00:00,134.32,135.02,133.08,133.58,106643654
2021-04-29 04:00:00+00:00,136.54,136.98,132.45,133.48,149222587
2021-04-30 04:00:00+00:00,131.79,133.56,131.065,131.46,109506363
2021-05-03 04:00:00+00:00,132.01,134.07,131.83,132.54,74961890
2021-05-04 04:00:00+00:00,131.12,131.4899,126.7,127.85,136403432
2021-05-05 04:00:00+00:00,129.21,130.45,127.97,128.1,83739467
